,Str1,Str2,Shared_norm,Strain1,Strain2
1158,R._leguminosarum_Vh3_GCF_000373325.1,gsA_R._leguminosarum_SM144B_GCF_004303975.1,0.8381939313027376,21,311
1144,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_L144_GCF_012276225.1,0.840474533567094,21,338
1134,R._leguminosarum_Vh3_GCF_000373325.1,R._laguerreae_SS21_GCF_012275795.1,0.8173852970893642,21,344
1133,R._leguminosarum_Vh3_GCF_000373325.1,R._laguerreae_SP4_GCF_012275785.1,0.8132016174066992,21,348
1145,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_L563_GCF_012276025.1,0.8444823433270359,21,359
1138,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_FRF1D12_GCF_004330655.1,0.8402127967264961,21,365
1157,R._leguminosarum_Vh3_GCF_000373325.1,R._sp._PEPV16_PEPV16_GCF_008919455.1,0.8224014496498424,21,370
1140,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_FWPou38_GCF_013391705.1,0.8227675716756742,21,377
1163,R._leguminosarum_Vh3_GCF_000373325.1,gsB_R._leguminosarum_SM12_GCF_004306015.1,0.8532353541539089,21,386
1148,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_RSP1E6_GCF_004330085.1,0.8502388792153279,21,388
1164,R._leguminosarum_Vh3_GCF_000373325.1,gsB_R._leguminosarum_SM13_GCF_004307165.1,0.8520844692110565,21,395
1136,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_CCBAU65264_GCF_012276485.1,0.8471836387259749,21,399
1147,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_RSF2G1_GCF_004330135.1,0.8720183738941911,21,414
1165,R._leguminosarum_Vh3_GCF_000373325.1,gsB_R._leguminosarum_SM22_GCF_004306805.1,0.8544003875878143,21,416
1166,R._leguminosarum_Vh3_GCF_000373325.1,gsB_R._leguminosarum_SM39_GCF_004306715.1,0.8563695486292227,21,417
1162,R._leguminosarum_Vh3_GCF_000373325.1,gsB_R._leguminosarum_SM10_GCF_004322895.1,0.8538143583802393,21,429
1143,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_JHI960_GCA_010668545.1,0.8490579119729671,21,438
406,R._leguminosarum_FRF1H7_GCF_004330625.1,R._anhuiense_S10_GCF_002531655.1,0.8471474882268311,25,5
428,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_Vh3_GCF_000373325.1,0.899867897787232,25,21
413,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_FRF1H7_GCF_004330625.1,1.0,25,25
444,R._leguminosarum_FRF1H7_GCF_004330625.1,gsC_R._leguminosarum_SM92_GCF_004305315.1,0.9160071604288733,25,26
430,R._leguminosarum_FRF1H7_GCF_004330625.1,R._ruizarguesonis_UPM1135_GCF_012412905.1,0.8945957573640777,25,77
416,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_JHI783_GCF_010668665.1,0.9073373563604425,25,81
443,R._leguminosarum_FRF1H7_GCF_004330625.1,gsC_R._leguminosarum_SM84_GCF_004306055.1,0.9101631651887734,25,103
441,R._leguminosarum_FRF1H7_GCF_004330625.1,gsC_R._leguminosarum_SM42_GCF_004306325.1,0.8974256071048958,25,152
442,R._leguminosarum_FRF1H7_GCF_004330625.1,gsC_R._leguminosarum_SM43_GCF_004306775.1,0.9217496920692944,25,165
420,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_RCAM0626_GCA_014189575.1,0.8931526367488196,25,168
429,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_WSM448_GCF_004028185.1,0.8714288200396523,25,195
445,R._leguminosarum_FRF1H7_GCF_004330625.1,gsE_R._leguminosarum_SM149A_GCF_004304155.1,0.855545662105498,25,206
426,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_UPM1137_GCF_000427705.1,0.8553821421187225,25,227
425,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_SEMIA_499_GCF_014198835.1,0.8561778155515962,25,233
424,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_SEMIA_488_GCF_014206965.1,0.8500184410736881,25,239
411,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_CZP1G4_GCF_004330845.1,0.8557029656880626,25,240
409,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_128C53_GCF_000373425.1,0.8460724372315838,25,260
427,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_UPM791_GCF_002948295.1,0.8483589083752393,25,261
415,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_JHI1084_GCF_010668425.1,0.8380175206194015,25,262
423,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_SEMIA_459_GCF_014198415.1,0.8693372131464575,25,265
433,R._leguminosarum_FRF1H7_GCF_004330625.1,gsA_R._leguminosarum_SM151B_GCF_004304085.1,0.8517285182350117,25,285
434,R._leguminosarum_FRF1H7_GCF_004330625.1,gsA_R._leguminosarum_SM155C_GCF_004303655.1,0.8406603086260656,25,302
435,R._leguminosarum_FRF1H7_GCF_004330625.1,gsA_R._leguminosarum_SM163B_GCF_004303255.1,0.8475817575236879,25,309
432,R._leguminosarum_FRF1H7_GCF_004330625.1,gsA_R._leguminosarum_SM144B_GCF_004303975.1,0.8351103456681935,25,311
418,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_L144_GCF_012276225.1,0.8491773168439072,25,338
408,R._leguminosarum_FRF1H7_GCF_004330625.1,R._laguerreae_SS21_GCF_012275795.1,0.8307183368215033,25,344
407,R._leguminosarum_FRF1H7_GCF_004330625.1,R._laguerreae_SP4_GCF_012275785.1,0.8245247563796899,25,348
419,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_L563_GCF_012276025.1,0.8451596029490295,25,359
412,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_FRF1D12_GCF_004330655.1,0.844969333431637,25,365
431,R._leguminosarum_FRF1H7_GCF_004330625.1,R._sp._PEPV16_PEPV16_GCF_008919455.1,0.8314499564701405,25,370
414,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_FWPou38_GCF_013391705.1,0.8306723799049799,25,377
437,R._leguminosarum_FRF1H7_GCF_004330625.1,gsB_R._leguminosarum_SM12_GCF_004306015.1,0.8487798433450607,25,386
422,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_RSP1E6_GCF_004330085.1,0.8488678380713067,25,388
438,R._leguminosarum_FRF1H7_GCF_004330625.1,gsB_R._leguminosarum_SM13_GCF_004307165.1,0.8435563528079775,25,395
410,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_CCBAU65264_GCF_012276485.1,0.8418101635575946,25,399
421,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_RSF2G1_GCF_004330135.1,0.8535169489054082,25,414
439,R._leguminosarum_FRF1H7_GCF_004330625.1,gsB_R._leguminosarum_SM22_GCF_004306805.1,0.8478425800624232,25,416
440,R._leguminosarum_FRF1H7_GCF_004330625.1,gsB_R._leguminosarum_SM39_GCF_004306715.1,0.8505601500095687,25,417
436,R._leguminosarum_FRF1H7_GCF_004330625.1,gsB_R._leguminosarum_SM10_GCF_004322895.1,0.8465202928090898,25,429
417,R._leguminosarum_FRF1H7_GCF_004330625.1,R._leguminosarum_JHI960_GCA_010668545.1,0.8360403008306918,25,438
3268,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._anhuiense_S10_GCF_002531655.1,0.8436420043614852,26,5
3290,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_Vh3_GCF_000373325.1,0.9040608824921303,26,21
3275,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_FRF1H7_GCF_004330625.1,0.9160071604288733,26,25
3306,gsC_R._leguminosarum_SM92_GCF_004305315.1,gsC_R._leguminosarum_SM92_GCF_004305315.1,1.0,26,26
3292,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._ruizarguesonis_UPM1135_GCF_012412905.1,0.8969698376675785,26,77
3278,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_JHI783_GCF_010668665.1,0.9142873164726202,26,81
3305,gsC_R._leguminosarum_SM92_GCF_004305315.1,gsC_R._leguminosarum_SM84_GCF_004306055.1,0.9203082535079656,26,103
3303,gsC_R._leguminosarum_SM92_GCF_004305315.1,gsC_R._leguminosarum_SM42_GCF_004306325.1,0.9095511584800763,26,152
3304,gsC_R._leguminosarum_SM92_GCF_004305315.1,gsC_R._leguminosarum_SM43_GCF_004306775.1,0.9159996495872917,26,165
3282,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_RCAM0626_GCA_014189575.1,0.889125783749971,26,168
3291,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_WSM448_GCF_004028185.1,0.8679730893458663,26,195
3307,gsC_R._leguminosarum_SM92_GCF_004305315.1,gsE_R._leguminosarum_SM149A_GCF_004304155.1,0.8486478714090719,26,206
3288,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_UPM1137_GCF_000427705.1,0.8429662759455452,26,227
3287,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_SEMIA_499_GCF_014198835.1,0.8451738448591919,26,233
3286,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_SEMIA_488_GCF_014206965.1,0.8456446893949241,26,239
3273,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_CZP1G4_GCF_004330845.1,0.8464070554986377,26,240
3271,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_128C53_GCF_000373425.1,0.8354010673831929,26,260
3289,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_UPM791_GCF_002948295.1,0.8386074519942899,26,261
3277,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_JHI1084_GCF_010668425.1,0.8349785428229541,26,262
3285,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_SEMIA_459_GCF_014198415.1,0.8607815813110336,26,265
3295,gsC_R._leguminosarum_SM92_GCF_004305315.1,gsA_R._leguminosarum_SM151B_GCF_004304085.1,0.8560480057464506,26,285
3296,gsC_R._leguminosarum_SM92_GCF_004305315.1,gsA_R._leguminosarum_SM155C_GCF_004303655.1,0.8525932321160542,26,302
3297,gsC_R._leguminosarum_SM92_GCF_004305315.1,gsA_R._leguminosarum_SM163B_GCF_004303255.1,0.8556026228284176,26,309
3294,gsC_R._leguminosarum_SM92_GCF_004305315.1,gsA_R._leguminosarum_SM144B_GCF_004303975.1,0.8499496546259797,26,311
3280,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_L144_GCF_012276225.1,0.8431475698115349,26,338
3270,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._laguerreae_SS21_GCF_012275795.1,0.8203593095788473,26,344
3269,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._laguerreae_SP4_GCF_012275785.1,0.8177424778374162,26,348
3281,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_L563_GCF_012276025.1,0.8457862637412843,26,359
3274,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_FRF1D12_GCF_004330655.1,0.8425581133023241,26,365
3293,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._sp._PEPV16_PEPV16_GCF_008919455.1,0.8257018256617152,26,370
3276,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_FWPou38_GCF_013391705.1,0.8292440595449528,26,377
3299,gsC_R._leguminosarum_SM92_GCF_004305315.1,gsB_R._leguminosarum_SM12_GCF_004306015.1,0.8575875280235294,26,386
3284,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_RSP1E6_GCF_004330085.1,0.8500374786891913,26,388
3300,gsC_R._leguminosarum_SM92_GCF_004305315.1,gsB_R._leguminosarum_SM13_GCF_004307165.1,0.8490223937332837,26,395
3272,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_CCBAU65264_GCF_012276485.1,0.8478094792806071,26,399
3283,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_RSF2G1_GCF_004330135.1,0.8622787666741634,26,414
3301,gsC_R._leguminosarum_SM92_GCF_004305315.1,gsB_R._leguminosarum_SM22_GCF_004306805.1,0.8568766515262248,26,416
3302,gsC_R._leguminosarum_SM92_GCF_004305315.1,gsB_R._leguminosarum_SM39_GCF_004306715.1,0.8575865603815123,26,417
3298,gsC_R._leguminosarum_SM92_GCF_004305315.1,gsB_R._leguminosarum_SM10_GCF_004322895.1,0.8553553801517937,26,429
3279,gsC_R._leguminosarum_SM92_GCF_004305315.1,R._leguminosarum_JHI960_GCA_010668545.1,0.835766497146982,26,438
1380,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._anhuiense_S10_GCF_002531655.1,0.8362287962912887,77,5
1402,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_Vh3_GCF_000373325.1,0.8941833609213177,77,21
1387,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_FRF1H7_GCF_004330625.1,0.8945957573640777,77,25
1418,R._ruizarguesonis_UPM1135_GCF_012412905.1,gsC_R._leguminosarum_SM92_GCF_004305315.1,0.8969698376675785,77,26
1404,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._ruizarguesonis_UPM1135_GCF_012412905.1,1.0,77,77
1390,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_JHI783_GCF_010668665.1,0.9220978614677511,77,81
1417,R._ruizarguesonis_UPM1135_GCF_012412905.1,gsC_R._leguminosarum_SM84_GCF_004306055.1,0.9063092435339837,77,103
1415,R._ruizarguesonis_UPM1135_GCF_012412905.1,gsC_R._leguminosarum_SM42_GCF_004306325.1,0.9018384785105882,77,152
1416,R._ruizarguesonis_UPM1135_GCF_012412905.1,gsC_R._leguminosarum_SM43_GCF_004306775.1,0.9181876377184166,77,165
1394,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_RCAM0626_GCA_014189575.1,0.8916402137194994,77,168
1403,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_WSM448_GCF_004028185.1,0.8742784995337398,77,195
1419,R._ruizarguesonis_UPM1135_GCF_012412905.1,gsE_R._leguminosarum_SM149A_GCF_004304155.1,0.859088128019599,77,206
1400,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_UPM1137_GCF_000427705.1,0.8596838568998446,77,227
1399,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_SEMIA_499_GCF_014198835.1,0.8512070678253099,77,233
1398,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_SEMIA_488_GCF_014206965.1,0.8550753543596257,77,239
1385,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_CZP1G4_GCF_004330845.1,0.8600261678005685,77,240
1383,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_128C53_GCF_000373425.1,0.8571509181653102,77,260
1401,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_UPM791_GCF_002948295.1,0.859486911678184,77,261
1389,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_JHI1084_GCF_010668425.1,0.8369604726493547,77,262
1397,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_SEMIA_459_GCF_014198415.1,0.8691782387981823,77,265
1407,R._ruizarguesonis_UPM1135_GCF_012412905.1,gsA_R._leguminosarum_SM151B_GCF_004304085.1,0.8425847016091113,77,285
1408,R._ruizarguesonis_UPM1135_GCF_012412905.1,gsA_R._leguminosarum_SM155C_GCF_004303655.1,0.8305546612720365,77,302
1409,R._ruizarguesonis_UPM1135_GCF_012412905.1,gsA_R._leguminosarum_SM163B_GCF_004303255.1,0.8362642745933312,77,309
1406,R._ruizarguesonis_UPM1135_GCF_012412905.1,gsA_R._leguminosarum_SM144B_GCF_004303975.1,0.8267479364252197,77,311
1392,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_L144_GCF_012276225.1,0.8454227280865447,77,338
1382,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._laguerreae_SS21_GCF_012275795.1,0.8267825093492309,77,344
1381,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._laguerreae_SP4_GCF_012275785.1,0.8218482989867355,77,348
1393,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_L563_GCF_012276025.1,0.847577944736602,77,359
1386,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_FRF1D12_GCF_004330655.1,0.8380631282087895,77,365
1405,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._sp._PEPV16_PEPV16_GCF_008919455.1,0.831353085961192,77,370
1388,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_FWPou38_GCF_013391705.1,0.8309464840927252,77,377
1411,R._ruizarguesonis_UPM1135_GCF_012412905.1,gsB_R._leguminosarum_SM12_GCF_004306015.1,0.8462534612553774,77,386
1396,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_RSP1E6_GCF_004330085.1,0.8468791237226442,77,388
1412,R._ruizarguesonis_UPM1135_GCF_012412905.1,gsB_R._leguminosarum_SM13_GCF_004307165.1,0.840895282583475,77,395
1384,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_CCBAU65264_GCF_012276485.1,0.8375187546447862,77,399
1395,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_RSF2G1_GCF_004330135.1,0.8727002395353014,77,414
1413,R._ruizarguesonis_UPM1135_GCF_012412905.1,gsB_R._leguminosarum_SM22_GCF_004306805.1,0.8479103961301426,77,416
1414,R._ruizarguesonis_UPM1135_GCF_012412905.1,gsB_R._leguminosarum_SM39_GCF_004306715.1,0.8504914238635374,77,417
1410,R._ruizarguesonis_UPM1135_GCF_012412905.1,gsB_R._leguminosarum_SM10_GCF_004322895.1,0.8460887444863802,77,429
1391,R._ruizarguesonis_UPM1135_GCF_012412905.1,R._leguminosarum_JHI960_GCA_010668545.1,0.8328261861579879,77,438
526,R._leguminosarum_JHI783_GCF_010668665.1,R._anhuiense_S10_GCF_002531655.1,0.8379388257513645,81,5
548,R._leguminosarum_JHI783_GCF_010668665.1,R._leguminosarum_Vh3_GCF_000373325.1,0.9001886942430064,81,21
533,R._leguminosarum_JHI783_GCF_010668665.1,R._leguminosarum_FRF1H7_GCF_004330625.1,0.9073373563604425,81,25
564,R._leguminosarum_JHI783_GCF_010668665.1,gsC_R._leguminosarum_SM92_GCF_004305315.1,0.9142873164726202,81,26
550,R._leguminosarum_JHI783_GCF_010668665.1,R._ruizarguesonis_UPM1135_GCF_012412905.1,0.9220978614677511,81,77
536,R._leguminosarum_JHI783_GCF_010668665.1,R._leguminosarum_JHI783_GCF_010668665.1,1.0,81,81
563,R._leguminosarum_JHI783_GCF_010668665.1,gsC_R._leguminosarum_SM84_GCF_004306055.1,0.9224092668947969,81,103
561,R._leguminosarum_JHI783_GCF_010668665.1,gsC_R._leguminosarum_SM42_GCF_004306325.1,0.910332983580847,81,152
562,R._leguminosarum_JHI783_GCF_010668665.1,gsC_R._leguminosarum_SM43_GCF_004306775.1,0.9257061321116393,81,165
540,R._leguminosarum_JHI783_GCF_010668665.1,R._leguminosarum_RCAM0626_GCA_014189575.1,0.90235496896319,81,168
549,R._leguminosarum_JHI783_GCF_010668665.1,R._leguminosarum_WSM448_GCF_004028185.1,0.8750508527707821,81,195
